Idade,Renda_Media,Ano,Trimestre
44,1557.857142857143,2019,3
45,1793.612565445026,2019,3
46,1450.1627906976744,2019,3
47,2019.3485714285716,2019,3
48,1677.758865248227,2019,3
49,1981.8959537572252,2019,3
50,1899.0280898876404,2019,3
51,1647.7073170731708,2019,3
52,1622.489932885906,2019,3
53,1456.25,2019,3
54,1725.976377952756,2019,3
55,1835.5275590551184,2019,3
56,1562.116071428571,2019,3
57,1675.6973684210527,2019,3
58,1476.8333333333333,2019,3
59,1312.121951219512,2019,3
60,1842.9102564102564,2019,3
61,1360.7042253521126,2019,3
62,1833.9384615384613,2019,3
63,1872.4888888888888,2019,3
64,2497.672727272727,2019,3
65,2518.6153846153848,2019,3
66,1971.0833333333333,2019,3
67,2362.5185185185187,2019,3
68,3362.3703703703704,2019,3
69,1516.875,2019,3
70,5400.0,2019,3
71,2651.2727272727275,2019,3
72,4815.0,2019,3
73,1347.142857142857,2019,3
74,553.3333333333334,2019,3
75,300.0,2019,3
76,770.0,2019,3
77,350.0,2019,3
78,4066.0,2019,3
79,5435.0,2019,3
80,6083.333333333333,2019,3
81,,2019,3
82,600.0,2019,3
83,,2019,3
84,,2019,3
85,500.0,2019,3
86,,2019,3
87,,2019,3
88,,2019,3
89,,2019,3
90,,2019,3
91,,2019,3
92,,2019,3
93,300.0,2019,3
94,,2019,3
95,,2019,3
96,,2019,3
97,,2019,3
98,,2019,3
99,,2019,3
100,,2019,3
101,,2019,3
102,,2019,3
104,,2019,3
0,,2019,4
1,,2019,4
2,,2019,4
3,,2019,4
4,,2019,4
5,,2019,4
6,,2019,4
7,,2019,4
8,,2019,4
9,,2019,4
10,,2019,4
11,,2019,4
12,,2019,4
13,,2019,4
14,140.0,2019,4
15,270.8,2019,4
16,366.0,2019,4
17,443.3555555555556,2019,4
18,572.7647058823529,2019,4
19,669.4444444444445,2019,4
20,700.9655172413793,2019,4
21,842.8027210884354,2019,4
22,872.7310344827587,2019,4
23,992.0755813953488,2019,4
24,874.8719512195122,2019,4
25,1168.6477987421383,2019,4
26,1099.7527472527472,2019,4
27,1262.4108108108107,2019,4
28,1201.4947916666667,2019,4
29,1147.1411042944785,2019,4
30,1221.2901554404143,2019,4
31,1278.122905027933,2019,4
32,1309.5885167464114,2019,4
33,1420.638497652582,2019,4
34,1403.8960396039604,2019,4
35,1502.6462264150944,2019,4
36,1550.3778801843318,2019,4
37,1538.872807017544,2019,4
38,1941.5330188679245,2019,4
39,1555.0248756218905,2019,4
40,1374.148148148148,2019,4
41,1670.6947368421052,2019,4
42,1620.2112676056338,2019,4
43,1550.9182692307693,2019,4
44,1778.32,2019,4
45,1518.3715846994537,2019,4
46,1544.9289940828403,2019,4
47,1950.3422459893047,2019,4
48,2031.0696202531649,2019,4
49,1786.7151898734178,2019,4
50,1974.0494505494505,2019,4
51,1595.7083333333333,2019,4
52,1557.7888198757764,2019,4
53,1508.8129496402878,2019,4
54,2125.203125,2019,4
55,1667.3333333333333,2019,4
56,1821.1052631578948,2019,4
57,1802.5194805194808,2019,4
58,1531.2439024390244,2019,4
59,1731.5061728395062,2019,4
60,2100.625,2019,4
61,1201.4489795918366,2019,4
62,1670.092105263158,2019,4
63,1799.6486486486488,2019,4
64,1961.1304347826087,2019,4
65,5079.024390243902,2019,4
66,2390.3478260869565,2019,4
67,1849.5652173913045,2019,4
68,4883.785714285715,2019,4
69,2957.5,2019,4
70,1788.809523809524,2019,4
71,7474.75,2019,4
72,3778.8333333333335,2019,4
73,1881.0,2019,4
74,750.3846153846154,2019,4
75,1350.0,2019,4
76,966.0,2019,4
77,200.0,2019,4
78,1042.6,2019,4
79,4076.6666666666665,2019,4
80,4250.0,2019,4
81,,2019,4
82,350.0,2019,4
83,,2019,4
84,,2019,4
85,,2019,4
86,10000.0,2019,4
87,,2019,4
88,,2019,4
89,,2019,4
90,,2019,4
91,,2019,4
92,,2019,4
93,,2019,4
94,,2019,4
95,,2019,4
96,,2019,4
97,,2019,4
98,,2019,4
99,,2019,4
100,,2019,4
101,,2019,4
102,,2019,4
104,,2019,4
0,,2020,1
1,,2020,1
2,,2020,1
3,,2020,1
4,,2020,1
5,,2020,1
6,,2020,1
7,,2020,1
8,,2020,1
